"order_id","order_date","required_date","shipped_date","company_name","category_name","country","product_name","discount"
10248,"1996-07-04","1996-08-01","1996-07-16","Vins et alcools Chevalier","Dairy Products","France","Queso Cabrales","0"
10248,"1996-07-04","1996-08-01","1996-07-16","Vins et alcools Chevalier","Grains/Cereals","France","Singaporean Hokkien Fried Mee","0"
10248,"1996-07-04","1996-08-01","1996-07-16","Vins et alcools Chevalier","Dairy Products","France","Mozzarella di Giovanni","0"
10249,"1996-07-05","1996-08-16","1996-07-10","Toms Spezialitäten","Produce","Germany","Tofu","0"
10249,"1996-07-05","1996-08-16","1996-07-10","Toms Spezialitäten","Produce","Germany","Manjimup Dried Apples","0"
10250,"1996-07-08","1996-08-05","1996-07-12","Hanari Carnes","Seafood","Brazil","Jack's New England Clam Chowder","0"
10250,"1996-07-08","1996-08-05","1996-07-12","Hanari Carnes","Produce","Brazil","Manjimup Dried Apples","0.15"
10250,"1996-07-08","1996-08-05","1996-07-12","Hanari Carnes","Condiments","Brazil","Louisiana Fiery Hot Pepper Sauce","0.15"
10251,"1996-07-08","1996-08-05","1996-07-15","Victuailles en stock","Grains/Cereals","France","Gustaf's Knäckebröd","0.05"
10251,"1996-07-08","1996-08-05","1996-07-15","Victuailles en stock","Grains/Cereals","France","Ravioli Angelo","0.05"
10251,"1996-07-08","1996-08-05","1996-07-15","Victuailles en stock","Condiments","France","Louisiana Fiery Hot Pepper Sauce","0"
10252,"1996-07-09","1996-08-06","1996-07-11","Suprêmes délices","Confections","Belgium","Sir Rodney's Marmalade","0.05"
10252,"1996-07-09","1996-08-06","1996-07-11","Suprêmes délices","Dairy Products","Belgium","Geitost","0.05"
10252,"1996-07-09","1996-08-06","1996-07-11","Suprêmes délices","Dairy Products","Belgium","Camembert Pierrot","0"
10253,"1996-07-10","1996-07-24","1996-07-16","Hanari Carnes","Dairy Products","Brazil","Gorgonzola Telino","0"
10253,"1996-07-10","1996-07-24","1996-07-16","Hanari Carnes","Beverages","Brazil","Chartreuse verte","0"
10253,"1996-07-10","1996-07-24","1996-07-16","Hanari Carnes","Confections","Brazil","Maxilaku","0"
10254,"1996-07-11","1996-08-08","1996-07-23","Chop-suey Chinese","Beverages","Switzerland","Guaraná Fantástica","0.15"
10254,"1996-07-11","1996-08-08","1996-07-23","Chop-suey Chinese","Meat/Poultry","Switzerland","Pâté chinois","0.15"
10254,"1996-07-11","1996-08-08","1996-07-23","Chop-suey Chinese","Produce","Switzerland","Longlife Tofu","0"
10255,"1996-07-12","1996-08-09","1996-07-15","Richter Supermarkt","Beverages","Switzerland","Chang","0"
10255,"1996-07-12","1996-08-09","1996-07-15","Richter Supermarkt","Confections","Switzerland","Pavlova","0"
10255,"1996-07-12","1996-08-09","1996-07-15","Richter Supermarkt","Seafood","Switzerland","Inlagd Sill","0"
10255,"1996-07-12","1996-08-09","1996-07-15","Richter Supermarkt","Dairy Products","Switzerland","Raclette Courdavault","0"
10256,"1996-07-15","1996-08-12","1996-07-17","Wellington Importadora","Meat/Poultry","Brazil","Perth Pasties","0"
10256,"1996-07-15","1996-08-12","1996-07-17","Wellington Importadora","Condiments","Brazil","Original Frankfurter grüne Soße","0"
10257,"1996-07-16","1996-08-13","1996-07-22","HILARION-Abastos","Confections","Venezuela","Schoggi Schokolade","0"
10257,"1996-07-16","1996-08-13","1996-07-22","HILARION-Abastos","Beverages","Venezuela","Chartreuse verte","0"
10257,"1996-07-16","1996-08-13","1996-07-22","HILARION-Abastos","Condiments","Venezuela","Original Frankfurter grüne Soße","0"
10258,"1996-07-17","1996-08-14","1996-07-23","Ernst Handel","Beverages","Austria","Chang","0.2"
10258,"1996-07-17","1996-08-14","1996-07-23","Ernst Handel","Condiments","Austria","Chef Anton's Gumbo Mix","0.2"
10258,"1996-07-17","1996-08-14","1996-07-23","Ernst Handel","Dairy Products","Austria","Mascarpone Fabioli","0.2"
10259,"1996-07-18","1996-08-15","1996-07-25","Centro comercial Moctezuma","Confections","Mexico","Sir Rodney's Scones","0"
10259,"1996-07-18","1996-08-15","1996-07-25","Centro comercial Moctezuma","Seafood","Mexico","Gravad lax","0"
10260,"1996-07-19","1996-08-16","1996-07-29","Ottilies Käseladen","Seafood","Germany","Jack's New England Clam Chowder","0.25"
